Gia,Dien tich,Dia chi,Duong vao,Chieu ngang,Huong nha,Loai hinh dat
2.65 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Tây bắc,Đất nền dự án
2.9 Tỷ,136 m²,"Phường Hòa Khánh Nam, Quận Liên Chiểu",NaN,NaN,Hướng: Đông Bắc,Đất nền dự án
2.65 Tỷ,90 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Tây Nam,Đất nền dự án
2.28 Tỷ,90 m²,", Quận Cẩm Lệ",NaN,NaN,Hướng: Tây Bắc,Đất nền dự án
2.7 Tỷ,90 m²,"Phường Hòa Minh, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
4.15 Tỷ,97 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Tây Bắc,Đất nền dự án
3.8 Tỷ,121 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Nam,Đất nền dự án
3.8 Tỷ,147 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",NaN,NaN,Hướng: Tây Nam,Đất nền dự án
150 Tỷ,1071 m²,"Phường An Hải Bắc, Quận Sơn Trà",NaN,NaN,NaN,Đất nền dự án
2.7 Tỷ,100 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.3 Tỷ,109 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 10m,Mặt tiền: 6m,Hướng: Tây bắc,Đất nền dự án
7.5 Tỷ,190 m²,"Phường Hòa An, Quận Cẩm Lệ",Đường vào: Rộng 10m,Mặt tiền: 10m,Hướng: Đông nam,Đất nền dự án
2.45 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
3.25 Tỷ,144 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
2.75 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,Hướng: Tây bắc,Đất nền dự án
3.2 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Nam,Đất nền dự án
2.25 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
4.5 Tỷ,94 m²,", Quận Liên Chiểu",NaN,NaN,Hướng: Đông Bắc,Đất nền dự án
21 Tỷ,250 m²,", Quận Thanh Khê",NaN,NaN,NaN,Đất nền dự án
5.6 Tỷ,121 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",NaN,NaN,Hướng: Tây Bắc,Đất nền dự án
4.05 Tỷ,100 m²,"Phường Thọ Quang, Quận Sơn Trà",NaN,NaN,Hướng: Tây Bắc,Đất nền dự án
2.75 Tỷ,100 m²,"Phường Hòa Khánh Bắc, Quận Liên Chiểu",NaN,NaN,Hướng: Tây Bắc,Đất nền dự án
2.7 Tỷ,81 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
3.5 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 10m,Mặt tiền: 6m,Hướng: Tây,Đất nền dự án
4.6 Tỷ,184.5 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 8m,Hướng: Nam,Đất nền dự án
2.09 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 7.5m,Mặt tiền: 5m,NaN,Đất nền dự án
1.9 Tỷ,100 m²,"Phường Hòa Hiệp Bắc, Quận Liên Chiểu",Đường vào: Rộng 5m,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
Thỏa thuận,200 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.7 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 9.5m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
2.65 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 26m,Mặt tiền: 6m,NaN,Đất nền dự án
2.7 Tỷ,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
6.8 Tỷ,154 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 9m,Hướng: Nam,Đất nền dự án
2.7 Tỷ,90 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
747 Triệu,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
229.5 Triệu,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
4.3 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
3.1 Tỷ,144 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
2.5 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
3.5 Tỷ,142 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
4.15 Tỷ,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
229.5 Triệu,102 m²,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.35 Tỷ,90 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
258.24 Triệu,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Bắc,Đất nền dự án
3.3 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 33m,Mặt tiền: 6m,NaN,Đất nền dự án
3.7 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 9.5m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
258.24 Triệu,96 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Bắc,Đất nền dự án
3.1 Tỷ,144 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,Hướng: Đông,Đất nền dự án
2.5 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
747 Triệu,180 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 7.5m,NaN,Đất nền dự án
229.5 Triệu,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.07 Tỷ,300 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 15m,Hướng: Đông bắc,Đất nền dự án
2.5 Tỷ,102 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 7.5m,Mặt tiền: 6m,NaN,Đất nền dự án
56.3 Tỷ,1373 m²,"Phường Hòa An, Quận Cẩm Lệ",Đường vào: Rộng 24m,Mặt tiền: 55m,NaN,Đất nền dự án
4.5 Tỷ,74 m²,"Phường An Hải Đông, Quận Sơn Trà",NaN,NaN,NaN,Đất nền dự án
5 Tỷ,130 m²,"Phường Hòa An, Quận Cẩm Lệ",Đường vào: Rộng 7.5m,Mặt tiền: 5m,Hướng: Tây Nam,Đất nền dự án
2.42 Tỷ,121 m²,", Quận Ngũ Hành Sơn",Đường vào: Rộng 10.5m,Mặt tiền: 5.5m,NaN,Đất nền dự án
169 Triệu,430 m²,", Huyện Hòa Vang",Đường vào: Rộng 5.5m,Mặt tiền: 6m,NaN,Đất nền dự án
585 Triệu,168 m²,", Huyện Hòa Vang",Đường vào: Rộng 5.5m,Mặt tiền: 6m,NaN,Đất nền dự án
2.55 Tỷ,90 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.83 Tỷ,70 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.95 Tỷ,100 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Đường vào: Rộng 10m,NaN,NaN,Đất nền dự án
5.9 Tỷ,150 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.25 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.25 Tỷ,108 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
5.9 Tỷ,150 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
5.3 Tỷ,216 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
1.86 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",Đường vào: Rộng 5.5m,Mặt tiền: 5m,Hướng: Đông bắc,Đất nền dự án
2750 Tỷ,150 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",Đường vào: Rộng 17m,Mặt tiền: 7.5m,NaN,Đất nền dự án
410 Triệu,169 m²,", Huyện Hòa Vang",Đường vào: Rộng 5.5m,Mặt tiền: 6m,NaN,Đất nền dự án
485 Triệu,162 m²,", Huyện Hòa Vang",Đường vào: Rộng 6m,Mặt tiền: 6m,NaN,Đất nền dự án
490 Triệu,179 m²,", Huyện Hòa Vang",Đường vào: Rộng 12m,Mặt tiền: 6m,NaN,Đất nền dự án
2.53 Tỷ,114 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.75 Tỷ,98 m²,"Phường Hòa Hải, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
3.4 Tỷ,100 m²,"Phường Khuê Mỹ, Quận Ngũ Hành Sơn",NaN,NaN,NaN,Đất nền dự án
2.4 Tỷ,100 m²,"Phường Hòa Hiệp Nam, Quận Liên Chiểu",NaN,NaN,NaN,Đất nền dự án
